gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
LCP2	2.6741917315005783	3.08964147471691	0.0021174261316168	0.154439134529233	sign(log2fc)*-log10(p_value)
FZD8	2.67329857972844	1.55589389530559	0.0021217852219993	0.154439134529233	sign(log2fc)*-log10(p_value)
RP11-297C4.6	2.6670540138680128	1.02510620228233	0.0021525140066213	0.154439134529233	sign(log2fc)*-log10(p_value)
LYPD5	2.6643336320080944	1.13823152194874	0.0021660394791295	0.154439134529233	sign(log2fc)*-log10(p_value)
HAR1B	2.664310332174799	2.11143668422532	0.0021661556899374	0.154439134529233	sign(log2fc)*-log10(p_value)
FABP9	2.664200117650794	5.47787552784819	0.0021667054830491	0.154439134529233	sign(log2fc)*-log10(p_value)
SLC25A23	2.6615882598885987	0.662510726295397	0.002179775365351	0.154439134529233	sign(log2fc)*-log10(p_value)
TM7SF2	2.660860494078834	0.786552773889533	0.0021834311702562	0.154439134529233	sign(log2fc)*-log10(p_value)
ADRA1B	2.6582181371962927	5.48876354528019	0.0021967562101194	0.154439134529233	sign(log2fc)*-log10(p_value)
PLEKHF1	2.6559923458828094	1.17391727192302	0.0022080436478028	0.154439134529233	sign(log2fc)*-log10(p_value)
CTSA	2.6526301090169073	0.765339255993902	0.0022252043024587	0.154457345733703	sign(log2fc)*-log10(p_value)
CELF5	2.6488545295973673	1.68223548140445	0.0022446336558329	0.155021071978914	sign(log2fc)*-log10(p_value)
HCP5	2.6453686134181824	1.46519875392533	0.0022627229750655	0.155576086984521	sign(log2fc)*-log10(p_value)
HLA-DRB6	2.6451200323951376	3.00704000776534	0.0022640184808091	0.155576086984521	sign(log2fc)*-log10(p_value)
SYT17	2.6435871284419887	1.07519425225117	0.0022720237746545	0.155735869633692	sign(log2fc)*-log10(p_value)
PIGT	2.6412316093122428	0.676772359691824	0.002284380218156	0.156024304914388	sign(log2fc)*-log10(p_value)
SNORD116-18	2.6399893056689425	1.68434308189674	0.0022909240651786	0.156024304914388	sign(log2fc)*-log10(p_value)
ECE1	2.639266506647041	0.668612123103919	0.0022947400390193	0.156024304914388	sign(log2fc)*-log10(p_value)
TGFB2	2.63758570945565	2.61081704253573	0.0023036383005365	0.156024304914388	sign(log2fc)*-log10(p_value)
HRAT92	2.6352875888861083	1.15737840556231	0.002315860584123	0.156024304914388	sign(log2fc)*-log10(p_value)
SERPINA9	2.6334223779947172	5.68572692629917	0.0023258281469502	0.156024304914388	sign(log2fc)*-log10(p_value)
