patient	malignancy_status	condition	gene	n_cells	pseudobulk_raw_umi	pseudobulk_library_size	pseudobulk_normalized_expression	fraction_expressing	mean_normalized_per_cell	median_normalized_per_cell	mean_normalized_positive_cells_only	median_normalized_positive_cells_only
Tumor_05	all_epithelial	Control	CITED2	2565	1004.0	53574062.0	4.303080202975852	0.24015594541910332	0.13473387386922273	0.0	0.5610266014197343	0.47402513399821855
Tumor_05	all_epithelial	Tamoxifen	USP34	2795	2132.0	39075035.0	5.79601861242326	0.48085867620751344	0.3478570565226122	0.0	0.7234080900154025	0.6662626579143205
Tumor_05	all_epithelial	Tamoxifen	VEZF1	2795	1772.0	39075035.0	5.534455344412691	0.43005366726296956	0.2916670698854665	0.0	0.6782108654990671	0.6225275175453715
Tumor_05	all_epithelial	Tamoxifen	EML5	2795	9.0	39075035.0	0.29904074242319256	0.0032200357781753132	0.0014749013430642936	0.0	0.4580388059849667	0.454555752088573
Tumor_05	all_epithelial	Tamoxifen	CITED2	2795	986.0	39075035.0	4.713338542488896	0.23542039355992844	0.1615002878266266	0.0	0.6860080615127985	0.6183741224370075
Tumor_05	malignant	Control	USP34	22	21.0	197218.0	6.747939890575858	0.5454545454545454	0.5217629372625319	0.6355316692422355	0.9565653849813085	0.8906328324698836
Tumor_05	malignant	Control	VEZF1	22	22.0	197218.0	6.8144438313711255	0.5	0.5476938648174554	0.342865291452448	1.0953877296349108	1.07434777942184
Tumor_05	malignant	Control	EML5	22	0.0	197218.0	0.0	0.0	0.0	0.0		
Tumor_05	malignant	Control	CITED2	22	16.0	197218.0	6.359810998039161	0.45454545454545453	0.43676051700560287	0.0	0.9608731374123263	0.849617476591948
Tumor_05	malignant	Tamoxifen	USP34	12	7.0	127283.0	5.807240560050194	0.4166666666666667	0.306322149753078	0.0	0.7351731594073871	0.703144980095154
Tumor_05	malignant	Tamoxifen	VEZF1	12	7.0	127283.0	5.807240560050194	0.5	0.40962020478601485	0.311133738381455	0.8192404095720297	0.804004081038077
Tumor_05	malignant	Tamoxifen	EML5	12	1.0	127283.0	3.1467380940091094	0.08333333333333333	0.029897875288146917	0.0	0.358774503457763	0.358774503457763
Tumor_05	malignant	Tamoxifen	CITED2	12	4.0	127283.0	5.019080714677183	0.25	0.21968406798606857	0.0	0.8787362719442743	1.09582010496335
Tumor_05	non-malignant epithelial	Control	USP34	2543	2774.0	53376844.0	5.7271063677626675	0.5658670861187574	0.35910162868719886	0.32856163270395	0.6346041985764744	0.588748280490283
Tumor_05	non-malignant epithelial	Control	VEZF1	2543	2205.0	53376844.0	5.402928425133788	0.4903657097915847	0.28896237790290075	0.0	0.5892793320024672	0.546135725231538
Tumor_05	non-malignant epithelial	Control	EML5	2543	4.0	53376844.0	0.10425460906879173	0.0015729453401494297	0.0004337332076842497	0.0	0.27574588678526174	0.29051459414201897
Tumor_05	non-malignant epithelial	Control	CITED2	2543	988.0	53376844.0	4.286134416168184	0.23830121903263862	0.13212098116414983	0.0	0.5544284737630909	0.47164550777727055
Tumor_05	non-malignant epithelial	Tamoxifen	USP34	2783	2125.0	38947752.0	5.795981795121909	0.48113546532518864	0.3480361506229479	0.0	0.7233641577174489	0.666182057835785
Tumor_05	non-malignant epithelial	Tamoxifen	VEZF1	2783	1765.0	38947752.0	5.533473683275748	0.4297520661157025	0.2911584685132758	0.0	0.6775033594251226	0.622087587175056
Tumor_05	non-malignant epithelial	Tamoxifen	EML5	2783	8.0	38947752.0	0.2695160182299791	0.002874595759971254	0.0013523445024818316	0.0	0.47044684380086715	0.48121939690223303
Tumor_05	non-malignant epithelial	Tamoxifen	CITED2	2783	982.0	38947752.0	4.712225165837505	0.23535752784764644	0.16124940555500844	0.0	0.685125336884868	0.618117549354806
Tumor_06	all_epithelial	Control	USP34	4533	5791.0	83844283.0	6.130694386635583	0.6082064857710126	0.4361036116798635	0.45319359569419	0.7170321624029095	0.660160966656219
Tumor_06	all_epithelial	Control	VEZF1	4533	4129.0	83844283.0	5.650938365485628	0.49393337745422455	0.32047867696488813	0.0	0.6488297644849657	0.606158531721177
Tumor_06	all_epithelial	Control	EML5	4533	20.0	83844283.0	0.3086374720756995	0.004412089124200309	0.0018939746985735682	0.0	0.42926936543169925	0.450960555247995
