gene_id	gene_symbol	log2fc	se	moderated_t	p_value	fdr	ave_expr	contrast	direction	crispr_direction	evidence_class	is_gate1_hit
ENSG00000188313	PLSCR1	0.422037748811414	0.188224284312938	2.24220668630485	0.048126036078504	0.11841953252151	5.18062090368234	TAMR_vs_MCF7	up			False
ENSG00000120802	TMPO	-0.357887075289711	0.159619250051147	-2.24212978807401	0.0481323763739877	0.11841953252151	7.07780316236323	TAMR_vs_MCF7	down			False
ENSG00000141627	DYM	-0.319973583532709	0.142727174384458	-2.24185467772808	0.0481550659496636	0.118455714284003	4.73151531217783	TAMR_vs_MCF7	down			False
ENSG00000214941	ZSWIM7	-0.296493803589678	0.132266084670748	-2.24164648350894	0.0481722435113428	0.118478327402835	4.92040810144804	TAMR_vs_MCF7	down			False
ENSG00000166016	ABTB2	0.520411152903494	0.232190450052943	2.24131161632544	0.0481998849265866	0.118526664325604	3.33855875244372	TAMR_vs_MCF7	up			False
ENSG00000133703	KRAS	0.449242292348113	0.200496172767959	2.24065270746108	0.0482543188406681	0.118601554241814	3.97925598886675	TAMR_vs_MCF7	up			False
ENSG00000185437	SH3BGR	-0.343715092049615	0.153393040778527	-2.2407476265229	0.0482464737142166	0.118601554241814	3.05392604168715	TAMR_vs_MCF7	down			False
ENSG00000140307	GTF2A2	0.318676722684429	0.142218292327463	2.24075762315205	0.0482456475574645	0.118601554241814	6.05588073064375	TAMR_vs_MCF7	up			False
ENSG00000212283	SNORD89	2.84201015275409	1.26869993315427	2.24009639985415	0.0483003227907119	0.118694963492644	1.88056964065473	TAMR_vs_MCF7	up			False
ENSG00000254413	CHKB-CPT1B	0.543003876940193	0.242522453500864	2.23898393365981	0.0483924452530012	0.118862291452414	3.79152387057605	TAMR_vs_MCF7	up			False
ENSG00000145287	PLAC8	-0.380335686383454	0.169863383697318	-2.23906811524007	0.0483854683205783	0.118862291452414	0.845453951625847	TAMR_vs_MCF7	down			False
ENSG00000223768	LINC00205	0.378040918737329	0.168830297496666	2.23917699810246	0.0483764455953074	0.118862291452414	3.30170658935885	TAMR_vs_MCF7	up			False
ENSG00000183751	TBL3	-0.388761470498484	0.173658146894125	-2.23865955874504	0.0484193383751199	0.118908663159555	5.42843524555495	TAMR_vs_MCF7	down			False
ENSG00000133597	ADCK2	-0.310182390959438	0.138566496430025	-2.2385093002339	0.0484318008199032	0.118919586391813	4.26569085944257	TAMR_vs_MCF7	down			False
ENSG00000177054	ZDHHC13	0.412775412939581	0.18445632360162	2.23779486048455	0.0484910987955857	0.11900610716654	4.12513969302603	TAMR_vs_MCF7	up			False
ENSG00000083838	ZNF446	-0.410937984134776	0.183622156374699	-2.23795424391061	0.0484778640249162	0.11900610716654	3.32817224969891	TAMR_vs_MCF7	down			False
ENSG00000143222	UFC1	0.269296979604805	0.120335840111368	2.2378784188948	0.0484841598957589	0.11900610716654	6.70022675633533	TAMR_vs_MCF7	up			False
