gene	n_datasets_testable	coverage_tier	max_evidence_percentile	max_percentile_dataset	crispr_evidence_percentile	gse118713_evidence_percentile	gse245601_evidence_percentile	gse240112_evidence_percentile	gse111151_evidence_percentile
AP005121.1	1	E	0.9974980540420327	gse245601_evidence_percentile			0.9974980540420327		
PREX2	2	D	0.9974426448241355	gse111151_evidence_percentile	0.49036750078525804				0.9974426448241355
RP11-564A8.4	1	E	0.9974149659863946	gse118713_evidence_percentile		0.9974149659863946			
ZNF806	2	D	0.9973685185871539	gse111151_evidence_percentile	0.07753114857083032				0.9973685185871539
CTB-33O18.1	2	D	0.9973469387755102	gse118713_evidence_percentile		0.9973469387755102			0.7030873577702828
RNU2-13P	1	E	0.9973314554686631	gse111151_evidence_percentile					0.9973314554686631
TPTE2P2	1	E	0.9972573292316815	gse111151_evidence_percentile					0.9972573292316815
CNTN6	2	D	0.9972202661131908	gse111151_evidence_percentile	0.306617108156214				0.9972202661131908
LINC01207	2	D	0.9972108843537415	gse118713_evidence_percentile		0.9972108843537415			0.7590526666913754
LGI1	2	D	0.9971461398762091	gse111151_evidence_percentile	0.45052874044602664				0.9971461398762091
RP11-1399P15.1	2	D	0.9970748299319728	gse118713_evidence_percentile		0.9970748299319728			0.3147770653422779
MIR4429	1	E	0.9970720136392276	gse111151_evidence_percentile					0.9970720136392276
NOL4	2	D	0.996997887402246	gse111151_evidence_percentile	0.4498481834362894				0.996997887402246
RP11-3B12.5	2	D	0.9969237611652645	gse111151_evidence_percentile		0.8634013605442177			0.9969237611652645
RP11-128I7.1	1	E	0.9967755086913013	gse111151_evidence_percentile					0.9967755086913013
RP11-379B18.5	2	D	0.9967384455728105	gse111151_evidence_percentile		0.47292517006802726			0.9967384455728105
CHODL-AS1	1	E	0.9966643193358289	gse111151_evidence_percentile					0.9966643193358289
EIF4A1P12	1	E	0.9966272562173382	gse111151_evidence_percentile					0.9966272562173382
ACSM2B	1	E	0.9965448644121034	crispr_evidence_percentile	0.9965448644121034				
GPR98	1	E	0.9965306122448979	gse118713_evidence_percentile		0.9965306122448979			
MT1H	2	D	0.9964972756588457	gse245601_evidence_percentile	0.7520154957596064		0.9964972756588457		
FAM86HP	2	D	0.9964048775063934	gse111151_evidence_percentile		0.02741496598639459			0.9964048775063934
AL121578.3	2	D	0.9963860780607139	gse245601_evidence_percentile			0.9963860780607139	0.9832853964291529	
