gene	crispr_effect	crispr_p	crispr_fdr	crispr_direction	crispr_fdr_significant	crispr_evidence_percentile
NT5E	-0.2377595309389271	0.4620826618113994	0.8913627273132548	sensitising_KO	False	0.4816249607370956
TRIM28	-0.255632100616558	0.4622526546145821	0.8916006119852952	sensitising_KO	False	0.481572610197885
RRAGA	-0.2058587245695147	0.4624524884574645	0.8917720002780372	sensitising_KO	False	0.4815202596586745
CYP2U1	0.2591587302286582	0.4624570921512396	0.8917720002780372	tolerance_associated_KO	False	0.4814679091194639
CCR7	0.2698782995855504	0.4625305483883958	0.8917720002780372	tolerance_associated_KO	False	0.4814155585802534
ZSCAN1	0.2379471272681321	0.4625537584661756	0.8917720002780372	tolerance_associated_KO	False	0.4813632080410428
TSPAN4	0.1900975135334022	0.462574922826523	0.8917720002780372	tolerance_associated_KO	False	0.4813108575018322
SOX1	-0.1994697757154737	0.4626889100770706	0.8917945193967844	sensitising_KO	False	0.4812585069626217
RNF40	-0.2688713432790894	0.4627231908135901	0.8917945193967844	sensitising_KO	False	0.4812061564234111
NADK	-0.2373494218132323	0.4627313578470184	0.8917945193967844	sensitising_KO	False	0.4811538058842006
GRID1	0.2336003727978974	0.4628679586618776	0.8917945193967844	tolerance_associated_KO	False	0.48110145534499
PTPRD	-0.1837771798173122	0.4628719522556394	0.8917945193967844	sensitising_KO	False	0.4810491048057794
CRADD	0.2325017533165718	0.4628786197497143	0.8917945193967844	tolerance_associated_KO	False	0.4809967542665689
PSMB7	-0.258429368162421	0.4629133881766484	0.8917945193967844	sensitising_KO	False	0.4809444037273583
DAZ3	0.2198506542448255	0.4631485242688772	0.8919824625276792	tolerance_associated_KO	False	0.4808920531881478
RFPL1	0.2692973561285567	0.4631510277434468	0.8919824625276792	tolerance_associated_KO	False	0.4808397026489373
LAIR2	-0.1769715410199772	0.4631721470811876	0.8919824625276792	sensitising_KO	False	0.4807873521097268
ZMIZ2	-0.3232592883761027	0.4631977191160853	0.8919824625276792	sensitising_KO	False	0.4807350015705162
NR0B1	0.2457854035359084	0.4633199872833148	0.8921279827712089	tolerance_associated_KO	False	0.4806826510313056
OTUD7A	-0.3732474799838723	0.4634230296679249	0.8921708072432065	sensitising_KO	False	0.4806303004920951
FERD3L	-0.2227678691223822	0.4634657395031102	0.8921708072432065	sensitising_KO	False	0.4805779499528845
TKTL2	0.4195502238019681	0.4634903380006644	0.8921708072432065	tolerance_associated_KO	False	0.480525599413674
ANKRD10	-0.2863544288236399	0.4635290405637242	0.8921708072432065	sensitising_KO	False	0.4804732488744634
SMG5	-0.3393966000682509	0.4636214588114478	0.8922587877972079	sensitising_KO	False	0.4804208983352528
MED18	-0.2260557710554191	0.4638216811593296	0.8924582820090047	sensitising_KO	False	0.4803685477960423
ADPRHL1	-0.1852249848255134	0.4638517804781432	0.8924582820090047	sensitising_KO	False	0.4803161972568317
ELAVL4	0.2773990389804801	0.4638652715315609	0.8924582820090047	tolerance_associated_KO	False	0.4802638467176212
DNAH14	-0.2023391117380715	0.463948589459933	0.8925274276479779	sensitising_KO	False	0.4802114961784106
CPEB4	0.2344883052928956	0.4640229519449778	0.8925274276479779	tolerance_associated_KO	False	0.4801591456392
MSRB3	0.2391742449509522	0.4641827655824155	0.8925274276479779	tolerance_associated_KO	False	0.4801067950999895
XIRP1	0.2488831792989136	0.4642613101210348	0.8925274276479779	tolerance_associated_KO	False	0.4800544445607789
PROSER3	0.3615727153836525	0.4642622948399237	0.8925274276479779	tolerance_associated_KO	False	0.4800020940215684
TPCN2	-0.2393991193375768	0.4642660106332749	0.8925274276479779	sensitising_KO	False	0.4799497434823578
ARHGAP6	0.2071270511834519	0.4642691499775757	0.8925274276479779	tolerance_associated_KO	False	0.4798973929431472
