gene	anon_id
SLC25A40	Gene01007
bP-21264C1.2	Gene01008
NTNG2	Gene01009
AC015971.2	Gene01010
LINC02377	Gene01011
AL031663.3	Gene01012
TMEM191C	Gene01013
LRIG3	Gene01014
RP11-272D12.2	Gene01015
ZSCAN5A	Gene01016
AC139769.2	Gene01017
FBXO28	Gene01018
SNHG21	Gene01019
RP11-661A12.9	Gene01020
EPS8L3	Gene01021
RPA3OS	Gene01022
RP11-2I17.4	Gene01023
C12orf71	Gene01024
RP11-379K17.12	Gene01025
LDHAP7	Gene01026
TNPO1	Gene01027
FNTB	Gene01028
ARHGAP42	Gene01029
MAPK6	Gene01030
AC004076.7	Gene01031
CTSK	Gene01032
FAM170A	Gene01033
SUPT7L	Gene01034
HOGA1	Gene01035
HSD17B6	Gene01036
SERPINF1	Gene01037
BRD9	Gene01038
RP11-708J19.1	Gene01039
IL17RB	Gene01040
AC022395.1	Gene01041
ETV1	Gene01042
LL0XNC01-116E7.5	Gene01043
HTR5A	Gene01044
RP11-1084J3.3	Gene01045
CLDN17	Gene01046
MMP2	Gene01047
KIAA0556	Gene01048
SLC16A6	Gene01049
NUP214	Gene01050
SYDE1	Gene01051
AC104389.28	Gene01052
CD48	Gene01053
TAS2R39	Gene01054
LNX2	Gene01055
C7orf55	Gene01056
RP11-788M5.3	Gene01057
MXRA5	Gene01058
C7orf33	Gene01059
ZNF596	Gene01060
C1QTNF3	Gene01061
EXOC5P1	Gene01062
SCO1	Gene01063
ITGA10	Gene01064
CX3CL1	Gene01065
FOSL1P1	Gene01066
DNM1P35	Gene01067
G3BP1	Gene01068
