gene	global_rank_original	global_rank_anonymized	ranks_match
ZFP90	11546	11546	True
ZFP91	9989	9989	True
ZFP92	13867	13867	True
ZFPL1	4075	4075	True
ZFPM1	7462	7462	True
ZFPM2	12951	12951	True
ZFR	10888	10888	True
ZFR2	13809	13809	True
ZFX	7685	7685	True
ZFX-AS1	14089	14089	True
ZFYVE1	9927	9927	True
ZFYVE16	9268	9268	True
ZFYVE19	9097	9097	True
ZFYVE21	1793	1793	True
ZFYVE26	4432	4432	True
ZFYVE27	10127	10127	True
ZFYVE28	3217	3217	True
ZFYVE9	8188	8188	True
ZG16	13118	13118	True
ZG16B	2420	2420	True
ZGLP1	5300	5300	True
ZGPAT	6679	6679	True
ZGRF1	7891	7891	True
ZHX1	7312	7312	True
ZHX1-C8orf76	12171	12171	True
ZHX2	1630	1630	True
ZHX3	3176	3176	True
ZIC1	314	314	True
ZIC2	2720	2720	True
ZIC3	14454	14454	True
ZIC4	613	613	True
ZIC5	3908	3908	True
ZIM2	14910	14910	True
ZKSCAN1	4222	4222	True
ZKSCAN2	7992	7992	True
ZKSCAN3	10818	10818	True
ZKSCAN4	10295	10295	True
ZKSCAN5	9231	9231	True
ZKSCAN7	14006	14006	True
ZKSCAN8	7292	7292	True
ZMAT1	12044	12044	True
ZMAT2	6140	6140	True
ZMAT3	10042	10042	True
ZMAT4	13251	13251	True
ZMAT5	9566	9566	True
ZMIZ1	1055	1055	True
ZMIZ1-AS1	13811	13811	True
ZMIZ2	10260	10260	True
ZMPSTE24	7378	7378	True
ZMYM1	10259	10259	True
ZMYM2	7816	7816	True
ZMYM3	10891	10891	True
ZMYM4	5983	5983	True
ZMYM4-AS1	14550	14550	True
ZMYM5	6570	6570	True
ZMYM6	10916	10916	True
ZMYM6NB	13135	13135	True
ZMYND10	3086	3086	True
ZMYND11	4136	4136	True
ZMYND12	12031	12031	True
ZMYND15	10481	10481	True
ZMYND19	10081	10081	True
ZMYND8	3586	3586	True
ZNF10	6495	6495	True
ZNF100	9331	9331	True
ZNF101	10192	10192	True
ZNF106	6853	6853	True
ZNF107	6871	6871	True
ZNF112	2376	2376	True
ZNF114	788	788	True
ZNF117	1923	1923	True
ZNF12	9892	9892	True
ZNF121	8243	8243	True
ZNF124	2307	2307	True
ZNF131	8932	8932	True
ZNF132	15091	15091	True
ZNF133	3236	3236	True
ZNF134	4692	4692	True
ZNF135	14889	14889	True
ZNF136	9068	9068	True
ZNF138	3172	3172	True
ZNF14	1549	1549	True
ZNF140	7792	7792	True
ZNF141	9426	9426	True
ZNF142	8090	8090	True
ZNF143	5289	5289	True
ZNF146	5323	5323	True
ZNF148	9112	9112	True
ZNF154	14471	14471	True
ZNF155	2571	2571	True
ZNF16	7707	7707	True
ZNF160	6825	6825	True
ZNF165	4899	4899	True
ZNF169	11027	11027	True
ZNF17	10627	10627	True
ZNF174	6100	6100	True
ZNF175	13976	13976	True
ZNF18	7798	7798	True
ZNF180	6666	6666	True
ZNF181	8418	8418	True
ZNF182	10955	10955	True
ZNF184	10615	10615	True
ZNF185	2057	2057	True
ZNF189	7770	7770	True
ZNF19	5710	5710	True
ZNF195	1425	1425	True
ZNF197	2479	2479	True
ZNF2	4618	4618	True
ZNF20	8719	8719	True
ZNF200	4747	4747	True
ZNF202	6322	6322	True
ZNF205	7102	7102	True
ZNF207	11087	11087	True
ZNF208	11460	11460	True
ZNF211	1560	1560	True
ZNF212	6426	6426	True
ZNF213	4206	4206	True
ZNF213-AS1	12388	12388	True
ZNF214	15045	15045	True
ZNF215	15201	15201	True
ZNF217	4948	4948	True
ZNF219	3474	3474	True
ZNF22	2383	2383	True
ZNF221	14813	14813	True
ZNF222	2391	2391	True
ZNF223	2653	2653	True
ZNF224	8756	8756	True
ZNF225	3472	3472	True
ZNF226	3646	3646	True
ZNF227	8358	8358	True
ZNF229	826	826	True
ZNF23	12949	12949	True
ZNF230	5112	5112	True
ZNF232	1922	1922	True
ZNF233	10387	10387	True
ZNF234	2996	2996	True
ZNF235	8866	8866	True
ZNF236	8181	8181	True
ZNF239	3830	3830	True
ZNF24	4934	4934	True
ZNF248	8292	8292	True
ZNF25	2132	2132	True
ZNF250	9662	9662	True
ZNF251	3162	3162	True
ZNF252P-AS1	14246	14246	True
ZNF253	4116	4116	True
ZNF254	4325	4325	True
ZNF256	2730	2730	True
ZNF257	1417	1417	True
ZNF26	7552	7552	True
ZNF260	10275	10275	True
ZNF263	10925	10925	True
ZNF264	11564	11564	True
ZNF266	3499	3499	True
ZNF267	10074	10074	True
ZNF268	6577	6577	True
ZNF273	6625	6625	True
ZNF274	7626	7626	True
ZNF275	688	688	True
ZNF276	3451	3451	True
ZNF277	2345	2345	True
ZNF28	9190	9190	True
ZNF280C	2546	2546	True
ZNF280D	10558	10558	True
ZNF281	187	187	True
ZNF282	9500	9500	True
ZNF283	7711	7711	True
ZNF284	11450	11450	True
ZNF285	2478	2478	True
ZNF286A	11785	11785	True
ZNF286B	12873	12873	True
ZNF287	9640	9640	True
ZNF292	8472	8472	True
ZNF296	9052	9052	True
ZNF3	1900	1900	True
ZNF30	3099	3099	True
ZNF300	13699	13699	True
ZNF302	5549	5549	True
ZNF304	2995	2995	True
ZNF311	10811	10811	True
ZNF316	9367	9367	True
ZNF317	7841	7841	True
ZNF318	6470	6470	True
ZNF319	1404	1404	True
ZNF32	3362	3362	True
ZNF320	12924	12924	True
ZNF322	11028	11028	True
ZNF324	2189	2189	True
ZNF324B	5189	5189	True
ZNF326	4265	4265	True
