gene	n_datasets_testable	n_datasets_fdr05	median_evidence_percentile	equal_dataset_mean_percentile	rank
NUP210L	4	0	0.21177437132941038	0.23986373050969184	17984
MED7	4	0	0.2117619403122429	0.2352172178716641	17985
GAA	4	0	0.21175491642237534	0.3500771641411782	17986
ZNF714	4	0	0.2116696181918797	0.2611991528284324	17987
LRRC39	3	0	0.2114821541084467	0.38671750878129996	17988
SOX9-AS1	2	0	0.21129091811173384	0.21129091811173384	17989
AC018521.2	2	0	0.21125281464582976	0.21125281464582976	17990
GRHPR	4	0	0.2111215002091355	0.22260495889740123	17991
RP11-321N4.5	2	0	0.21104578883552977	0.21104578883552977	17992
NPTN-IT1	2	0	0.21091871606366092	0.21091871606366092	17993
AC084357.2	2	0	0.21090917140373844	0.21090917140373844	17994
PRR16	3	0	0.2108306460580451	0.23518107206124506	17995
LINC01637	2	0	0.21075983187404004	0.21075983187404004	17996
SLCO5A1	3	0	0.2106667655016493	0.3027257839927503	17997
AC002310.1	2	0	0.2106361220250677	0.2106361220250677	17998
CHM	4	0	0.21061942586094254	0.208187988914061	17999
C1S	3	0	0.2105926392646677	0.21045200578991727	18000
CTD-2124B8.2	2	0	0.2105686289192672	0.2105686289192672	18001
AC010761.1	2	0	0.21052555028484948	0.21052555028484948	18002
SLC25A34	3	0	0.2105185130276862	0.1841876850183248	18003
RANP1	2	0	0.21050014283167767	0.21050014283167767	18004
RP5-857K21.7	2	0	0.21049148972809534	0.21049148972809534	18005
SNRPD2	4	0	0.2104707070986779	0.24172035861841373	18006
SEMA4D	4	0	0.21040779224806538	0.21002539243150492	18007
LURAP1	3	0	0.2103977858577088	0.34928291210509127	18008
RAB14	4	0	0.21038743701943002	0.31714455592188234	18009
PSMC1P1	2	0	0.21035003972309058	0.21035003972309058	18010
RP11-109E12.1	2	0	0.21012743283444354	0.21012743283444354	18011
HGD	3	0	0.2100721766972377	0.2838641834777937	18012
HOTAIRM1_1	2	0	0.21000617844706543	0.21000617844706543	18013
DNAH1	4	0	0.20999599083489726	0.2562647601905875	18014
NUDCD3	4	0	0.20994138228464865	0.27795224415827124	18015
AC018638.7	2	0	0.20985422439627027	0.20985422439627027	18016
NHLRC3	4	0	0.20965960977647455	0.3057791067639623	18017
ZNF174	4	0	0.20959544723082696	0.3774393473201554	18018
RBM39	4	0	0.20952159080379312	0.20803612533135993	18019
VWA3A	2	0	0.20942494285763985	0.20942494285763985	18020
