gene	resistance_datasets_testable	resistance_up_count	resistance_down_count	resistance_fdr05_count	resistance_nominal_p05_count	resistance_top10pct_count	resistance_top20pct_count	resistance_median_percentile	resistance_direction_consensus
ANKS6	3	3	0	2	3	2	3	0.9185034013605442	all_up
ITGA5	3	3	0	2	3	2	3	0.9180534450168636	all_up
MAP7	3	3	0	2	3	2	3	0.9175123460140012	all_up
KLF5	3	3	0	2	3	2	3	0.9170527408176125	all_up
IL6R	3	3	0	2	3	2	3	0.9149617409236448	all_up
TP53INP2	3	3	0	2	3	2	3	0.9146065749972204	all_up
RAP2C	3	0	3	2	3	2	3	0.9142359438123124	all_down
SLC22A23	3	3	0	2	3	2	3	0.9121768707482992	all_up
CHPF	3	3	0	2	3	2	3	0.9117687074829932	all_up
KLRG2	3	0	3	2	3	2	3	0.9108632000296504	all_down
SERPINB8	3	3	0	2	3	2	3	0.9100680272108844	all_up
RAPGEF3	3	3	0	2	3	2	3	0.9092694859345464	all_up
FAM102A	3	0	3	2	3	2	3	0.9091212334605834	all_down
IGFBP4	3	0	3	2	3	2	3	0.9046507841753948	all_down
DHRS3	3	3	0	2	2	2	3	0.9024257882455092	all_up
NKAIN1	3	0	3	2	3	2	3	0.9017745699245672	all_down
QSOX1	3	3	0	2	3	2	3	0.9015574971509198	all_up
ITPRIPL2	3	3	0	2	3	2	3	0.9004081632653061	all_up
CXCL8	2	2	0	2	2	2	2	0.9966556265964355	all_up
LOX	3	3	0	2	2	2	2	0.996635372008466	all_up
HSPB8	3	0	3	2	2	2	2	0.9960544217687076	all_down
SSTR5-AS1	2	2	0	2	2	2	2	0.995673423979675	all_up
FN1	3	3	0	2	2	2	2	0.995374149659864	all_up
BMPER	2	0	2	2	2	2	2	0.99511453610861	all_down
PTPRB	3	3	0	2	2	2	2	0.9946274488522278	all_up
RBPMS	3	0	3	2	2	2	2	0.993867694144462	all_down
COL4A3	3	3	0	2	2	2	2	0.9932707440169316	all_up
FAM105A	2	2	0	2	2	2	2	0.9932197979076735	all_up
CCDC68	3	3	0	2	2	2	2	0.9925850340136054	all_up
MCTP1	3	3	0	2	2	2	2	0.992517006802721	all_up
DSCAM-AS1	3	0	3	2	2	2	2	0.9924024529223422	all_down
SDR16C5	3	3	0	2	2	2	2	0.992108843537415	all_up
AASS	3	3	0	2	2	2	2	0.9919683073750476	all_up
NPAS2	3	3	0	2	2	2	2	0.9892006295110436	all_up
PSTPIP2	3	0	3	2	3	2	2	0.9891463613176318	all_down
RAMP1	2	0	2	2	2	2	2	0.9890404497393466	all_down
GJA3	3	3	0	2	2	2	2	0.9888207521571608	all_up
EGR3	3	0	3	2	3	2	2	0.9873614765946408	all_down
IFI30	3	0	3	2	2	2	2	0.9856462585034014	all_down
ADAMTS19	3	0	3	2	2	2	2	0.9852380952380952	all_down
CHRNA9	2	2	0	2	2	2	2	0.9852222208685938	all_up
HEY1	3	3	0	2	2	2	2	0.9851305150051556	all_up
SIX2	3	3	0	2	2	2	2	0.9848299319727892	all_up
SEMA3B-AS1	2	0	2	2	2	2	2	0.9844685464135183	all_down
CRYBG3	3	3	0	2	2	2	2	0.9843537414965986	all_up
SEMA3A	3	0	3	2	3	2	2	0.9838775434565064	all_down
ANG	3	3	0	2	2	2	2	0.9838280783632712	all_up
LMO7	3	3	0	2	2	2	2	0.9833333333333332	all_up
