gene	subset	drug_id	drug_name	target	pathway	dataset	metric	n	spearman_rho	p_value	direction	fdr
VEZF1	all_breast_lines	1192	GSK269962A	ROCK1, ROCK2	Cytoskeleton	GDSC2	LN_IC50	43	0.29870129870129875	0.05169398786395162	higher_expression_more_resistant	0.30897100853475973
VEZF1	all_breast_lines	268	Sepantronium bromide	BIRC5	Apoptosis regulation	GDSC1	AUC	45	0.2913043478260869	0.052200536454072764	higher_expression_more_resistant	0.8799519002257981
VEZF1	all_breast_lines	1007	Docetaxel	Microtubule stabiliser	Mitosis	GDSC2	LN_IC50	46	0.2879432624113475	0.05231915575767136	higher_expression_more_resistant	0.30897100853475973
VEZF1	all_breast_lines	1557	LCL161	XIAP, IAP1, IAP2	Apoptosis regulation	GDSC2	LN_IC50	40	0.3080675422138837	0.05312133129194115	higher_expression_more_resistant	0.30897100853475973
VEZF1	all_breast_lines	1022	AZD7762	CHEK1, CHEK2	Cell cycle	GDSC1	LN_IC50	43	0.29401993355481726	0.05565295100891666	higher_expression_more_resistant	0.8095337049555937
VEZF1	all_breast_lines	1553	Uprosertib	AKT1, AKT2, AKT3	PI3K/MTOR signaling	GDSC2	LN_IC50	44	0.2904862579281184	0.0557645343707435	higher_expression_more_resistant	0.31258432606812114
VEZF1	all_breast_lines	273	CUDC-101	HDAC1-10, EGFR, ERBB2	Other	GDSC1	AUC	45	-0.2853754940711462	0.057405351898502155	higher_expression_more_sensitive	0.9227749145359531
VEZF1	all_breast_lines	1581	Bromosporine	CECR2, BRD2, BRD4, BRD9	Chromatin other	GDSC2	LN_IC50	37	0.31484115694642006	0.05770168830435366	higher_expression_more_resistant	0.31258432606812114
VEZF1	all_breast_lines	1062	Selumetinib	MEK1, MEK2	ERK MAPK signaling	GDSC2	LN_IC50	45	0.2849802371541502	0.057766624089882555	higher_expression_more_resistant	0.31258432606812114
VEZF1	all_breast_lines	1924	Ipatasertib	AKT1, AKT, AKT3	PI3K/MTOR signaling	GDSC2	LN_IC50	45	0.2845849802371541	0.05812971677758042	higher_expression_more_resistant	0.31258432606812114
VEZF1	all_breast_lines	1461	TANK_1366	Tankyrase 1/2 (PARP5a, PARP5b)	Genome integrity	GDSC1	LN_IC50	44	0.2872445384073291	0.05868171428679155	higher_expression_more_resistant	0.8095337049555937
VEZF1	all_breast_lines	1242	(5Z)-7-Oxozeaenol	TAK1	Other, kinases	GDSC1	LN_IC50	42	0.2932501418037436	0.059457277765100104	higher_expression_more_resistant	0.8095337049555937
VEZF1	all_breast_lines	1553	Uprosertib	AKT1, AKT2, AKT3	PI3K/MTOR signaling	GDSC2	AUC	44	0.2863988724453841	0.05946246064688606	higher_expression_more_resistant	0.8748910234836543
VEZF1	all_breast_lines	1022	AZD7762	CHEK1, CHEK2	Cell cycle	GDSC1	AUC	43	0.2887345212926608	0.06041118555509064	higher_expression_more_resistant	0.9227749145359531
VEZF1	all_breast_lines	1779	GSK626616AC	DYRK1A	Other, kinases	GDSC2	LN_IC50	37	0.31033665244191555	0.061572018123819856	higher_expression_more_resistant	0.3165733434070761
VEZF1	all_breast_lines	1033	Vismodegib	SMO	Other	GDSC2	LN_IC50	45	0.2805006587615283	0.06198976432370429	higher_expression_more_resistant	0.3165733434070761
VEZF1	all_breast_lines	1580	GSK2801		Chromatin other	GDSC2	LN_IC50	37	0.30749170222854433	0.06412043966541968	higher_expression_more_resistant	0.3165733434070761
VEZF1	all_breast_lines	1786	AZD4547	FGFR1, FGFR2, FGFR3	RTK signaling	GDSC2	AUC	45	-0.27799736495388666	0.06445495129998066	higher_expression_more_sensitive	0.8748910234836543
