gene	subset	drug_id	drug_name	target	pathway	dataset	metric	n	spearman_rho	p_value	direction	fdr
USP34	all_breast_lines	2360	THR-101	Mutant RAS	PI3K/MTOR signaling	GDSC2	AUC	41	-0.04128919860627179	0.7977091063078884	higher_expression_more_sensitive	0.9743956330352131
USP34	all_breast_lines	1175	Rucaparib	PARP1, PARP2	Genome integrity	GDSC2	LN_IC50	45	0.039130434782608685	0.7985640155915197	higher_expression_more_resistant	0.9614384577853092
USP34	all_breast_lines	1802	Zoledronate	 	Other	GDSC2	AUC	37	-0.0433854907539118	0.7987495379809788	higher_expression_more_sensitive	0.9743956330352131
USP34	all_breast_lines	1820	123829		Unclassified	GDSC2	AUC	37	0.0433854907539118	0.7987495379809788	higher_expression_more_resistant	0.9743956330352131
USP34	all_breast_lines	1996	MIM1	MCL1	Apoptosis regulation	GDSC2	AUC	41	0.0407665505226481	0.8002173067941822	higher_expression_more_resistant	0.9743956330352131
USP34	all_breast_lines	1733	ULK1_4989	ULK1	Other, kinases	GDSC2	LN_IC50	37	-0.04267425320056899	0.8019825432227519	higher_expression_more_sensitive	0.9614384577853092
USP34	all_breast_lines	1042	Doramapimod	p38, JNK2	JNK and p38 signaling	GDSC2	AUC	44	0.03861874559548978	0.8034490307483336	higher_expression_more_resistant	0.9743956330352131
USP34	all_breast_lines	164	JQ12	HDAC1, HDAC2	Chromatin histone acetylation	GDSC1	LN_IC50	44	0.03819591261451726	0.8055592441784091	higher_expression_more_resistant	0.8801480630838173
USP34	all_breast_lines	136	Mitomycin-C	DNA crosslinker	DNA replication	GDSC1	AUC	45	0.037022397891963106	0.8092080809334002	higher_expression_more_resistant	0.924260803636663
USP34	all_breast_lines	1924	Ipatasertib	AKT1, AKT, AKT3	PI3K/MTOR signaling	GDSC2	LN_IC50	45	-0.03689064558629776	0.8098744883467253	higher_expression_more_sensitive	0.9614384577853092
USP34	all_breast_lines	1013	Nilotinib	ABL	ABL signaling	GDSC2	LN_IC50	45	0.03649538866930171	0.8118745067525439	higher_expression_more_resistant	0.9614384577853092
USP34	all_breast_lines	1242	(5Z)-7-Oxozeaenol	TAK1	Other, kinases	GDSC1	AUC	42	-0.03784134186856819	0.811939994688138	higher_expression_more_sensitive	0.924260803636663
USP34	all_breast_lines	1261	rTRAIL	TRAIL receptor agonist	Apoptosis regulation	GDSC1	LN_IC50	43	-0.037148897614013895	0.813040875078691	higher_expression_more_sensitive	0.8855891377780204
